# lon, lat, height_above_datum, mean_residual, num_observations
# Geodetic Datum --> Name: D_MOON  Spheroid: MOON  Semi-major axis: 1737400  Semi-minor axis: 1737400  Meridian: Reference Meridian at 0  Proj4 Str: +proj=longlat +R=1737400 +no_defs
-6.0025462871772977, -84.783973478257963, -1353.5065342060414, 0.38592690316175549, 2
-5.2569976945744017, -84.765499237628916, -977.81114911902375, 0.19638558835915132, 2
-5.2900315294264946, -84.763864487500669, -998.76463402420438, 0.18272578210457877, 2
-5.2769564408847458, -84.775930274166015, -1025.1601240406542, 0.055843311726125083, 2
-5.2818173646235689, -84.783182265343044, -1049.0695508303299, 0.10470835601626477, 2
-5.3115830995174811, -84.773379678124229, -1040.0254206829329, 0.34328457575052557, 2
-5.2558754820574389, -84.764988500884073, -978.06613127037292, 0.46505044175531524, 2
-5.3206408105356262, -84.768375314552543, -1032.9973119505794, 0.22003937057534917, 2
-5.2571970432176478, -84.765277268655979, -977.48846666716599, 0.25469150512026439, 2
-5.2790811864554055, -84.763262087031976, -990.95327906974308, 0.20230262063792362, 2
-5.2917936279269409, -84.766283588282789, -1007.520742711223, 0.037290256180044473, 2
-5.2790842127350563, -84.76000030228272, -985.07301821530143, 0.19307943284369122, 2
-5.9895851897092216, -84.821308256213044, -1297.2445226599607, 0.11474747523080531, 2
-5.8728059874489889, -84.813055930668, -1353.3057587117598, 0.23098621388975932, 2
-6.0080973921627203, -84.801959476491987, -1335.3026228111332, 0.305537866725477, 2
-5.9241610692823308, -84.797193141218173, -1367.8127186967599, 0.15215699622721598, 2
-5.732889403495232, -84.81379652786859, -1362.7749407173119, 0.65987243796009765, 2
-5.7115529159706835, -84.815354636936902, -1362.1224482307744, 0.22840937119459304, 2
-6.0187934847408906, -84.798811700376334, -1337.5972388421699, 0.26233107166430319, 2
-6.0010652671427005, -84.788334846512313, -1359.7466514633627, 0.40907147983624514, 2
-6.0012566714304949, -84.788475445713459, -1358.8584121977483, 0.14691286260537442, 2
-5.9971946176910134, -84.820654310711959, -1295.8763354982204, 0.018509285140464692, 2
-5.9249198138964951, -84.796790728399216, -1368.0465453666723, 0.1206109389888185, 2
-5.9907208807836145, -84.788798828509542, -1359.5889717554812, 0.42608404344462403, 2
-5.3428696653318557, -84.819692463424744, -1177.0221621385429, 0.42813731893032042, 2
-5.4198117158467403, -84.813651580024242, -1226.5678879705908, 0.5575829827381571, 2
-5.309713663447293, -84.789446996141777, -1089.1081632369931, 0.16011777230568855, 2
-5.3325630213622324, -84.78749987734659, -1101.7426834730647, 0.42370068762844532, 2
-5.7529098856821248, -84.858139496802579, -1216.3228978663547, 0.12780539983314176, 2
-5.998316059207669, -84.842035140176506, -1211.5625860731573, 0.21390553262947984, 2
-5.8436010899729807, -84.852498288603272, -1209.6926117841865, 0.41407598078320668, 2
-5.9246004208768221, -84.82753226579095, -1299.6710733168366, 0.33301463115259033, 2
-5.9988667338289119, -84.837009378297566, -1231.5981255209601, 0.2471794564163563, 2
-5.9906754173161367, -84.853750434220487, -1136.433076409231, 0.050604421983365455, 2
-5.7861515289551653, -84.834909284186196, -1311.0777897872051, 0.27753815126148962, 2
-5.9784663023324551, -84.853708791654427, -1140.1538349475566, 0.09431150613140972, 2
-5.9788660991378455, -84.853451371130305, -1142.955290261634, 0.13190094958340579, 2
-5.9652327649428196, -84.835859400882782, -1249.1107079172277, 0.2886090784503742, 2
-5.6813205986989406, -84.827101797908696, -1346.842370068684, 0.17118734236988026, 2
-5.9772682722578523, -84.85389098204017, -1136.9420338953746, 0.056687945636416978, 2
-5.976375099312369, -84.858464326898655, -1106.8278680951223, 0.23325334754227156, 2
-5.9994572813305194, -84.836829859698241, -1232.2264756226932, 0.2433846911528913, 2
-5.9936682138986415, -84.857446896259745, -1107.0767984110419, 0.14188610217438277, 2
-5.9784668975535666, -84.853744120308747, -1139.9564598151323, 0.09155178154651028, 2
-5.9732241056301474, -84.849865689551834, -1160.1202500825596, 0.24339124785228067, 2
